clientes,predicción
49128,0
69792,0
69838,0
69868,0
70334,0
70430,0
70566,0
71438,0
72510,1
73010,0
73022,0
73274,1
73420,1
76016,0
77452,0
78222,0
78232,0
78236,1
78244,0
78256,1
78260,0
78262,0
78268,0
78270,0
78282,0
78284,0
78312,0
78448,0
78512,0
78516,1
78528,0
78554,0
78560,0
78590,0
78598,0
78608,0
78870,0
78910,0
78952,1
78990,0
79022,0
79062,0
79098,0
79110,0
79146,0
79184,1
80318,0
80580,0
81252,0
81266,0
81338,0
81346,0
82042,0
82440,0
82636,0
82862,0
82868,0
82934,0
83600,1
83604,0
83718,0
83780,0
84364,0
84384,0
84406,0
85068,0
85078,0
85084,0
85128,0
85152,1
85630,0
85632,0
86138,0
86142,0
86222,0
86606,0
86608,0
86634,0
86740,1
86768,0
86816,1
87004,1
87052,0
87252,1
87290,0
87598,0
87740,0
88024,0
88254,0
88512,0
88914,0
89372,0
89376,1
90204,0
90210,0
90322,0
90444,0
91724,0
92036,0
92052,0
92152,1
92204,1
92246,0
92258,0
92270,1
92294,0
92352,0
92510,0
92646,0
92668,0
92786,0
92788,0
92792,0
92838,0
92840,0
92864,1
92900,0
92948,1
92950,1
92998,0
93000,0
93038,0
93066,0
93070,0
93082,0
93088,0
93092,0
93098,1
93120,0
93122,0
93124,1
93130,0
93144,0
93148,0
93152,0
93164,0
93186,0
93198,0
93218,1
93222,0
93224,0
93228,0
93232,0
93258,0
93262,0
93264,0
93266,0
93270,0
93282,1
93288,0
93296,1
93302,0
93340,0
93354,0
93358,0
93360,0
93362,0
93372,0
93390,0
93394,0
93398,1
93406,0
93408,0
93412,0
93416,0
93418,0
93424,1
93426,0
93432,0
93436,0
93450,0
93454,0
93456,1
93460,0
93464,0
93466,1
93468,0
93474,0
93476,0
93478,0
93482,1
93484,0
93486,0
93488,0
93490,0
93494,0
93500,0
93502,1
93510,0
93512,0
93526,0
93534,0
93536,0
93544,0
93570,0
93600,0
93640,1
93648,0
93654,0
93690,0
93698,0
93704,0
93708,0
93712,1
93738,0
93744,0
93746,0
93760,0
93778,0
93780,0
93782,0
93784,0
93796,0
93800,0
93802,1
93804,0
93808,1
93814,0
93816,0
93828,0
93832,0
93834,0
93836,0
93838,0
93848,1
93862,0
93870,0
93874,0
93884,0
93904,0
94260,0
94272,0
94288,0
94348,1
94374,0
94426,0
94528,0
94548,0
94566,0
94570,0
94584,0
94630,0
94680,0
94732,0
94768,0
94770,0
94778,0
94784,0
94812,0
94830,0
94832,0
94844,0
94854,0
94858,1
94860,0
94862,0
94864,1
94866,1
94896,0
94898,0
94900,0
94904,0
94906,0
94910,0
94916,0
94918,0
94922,0
94924,1
94932,0
94940,0
94946,0
94948,0
94952,0
94956,0
94964,0
94968,0
94970,0
94978,1
94980,0
94982,0
94984,0
94988,0
94990,0
94992,0
94994,0
95002,0
95004,0
95014,1
95016,0
95024,1
95032,0
95038,0
95040,0
95052,0
95054,0
95062,0
95076,0
95082,0
95084,0
95090,0
95092,0
95094,0
95108,0
95118,0
95120,0
95124,0
95130,0
95136,0
95154,0
95158,0
95166,0
95168,0
95172,0
95176,0
95194,0
95200,0
95202,0
95210,1
95214,1
95216,0
95218,0
95224,0
95230,0
95232,0
95234,0
95236,0
95242,0
95246,0
95250,0
95258,1
95260,0
95264,0
95266,0
95272,0
95274,0
95278,0
95280,0
95282,0
95290,0
95292,0
95298,0
95300,0
95304,0
95306,0
95312,0
95318,0
95320,0
95330,0
95338,0
95348,0
95358,0
95360,0
95362,0
95368,0
95370,0
95386,0
95390,0
95398,0
95404,0
95410,0
95420,0
95432,0
95442,0
95444,0
95462,0
95474,0
95486,0
95516,1
95518,0
95524,0
95546,0
95552,0
95554,0
95560,0
95568,0
95592,0
95596,0
95600,0
95610,0
95620,0
95622,0
95630,0
95644,0
95650,0
95656,0
95668,0
95672,0
95682,0
95688,0
95694,0
95700,0
95702,0
95708,0
95710,0
95712,1
95738,0
95746,1
95762,0
95766,0
95768,0
95772,0
95776,0
95778,0
95780,0
95784,0
95808,0
95822,0
95828,0
95834,0
95856,0
95858,0
95876,0
95882,0
95888,0
95894,0
95906,0
95912,0
95924,0
95932,0
95938,0
95942,0
95982,0
95986,0
96004,0
96008,0
96020,0
96022,0
96026,0
96028,0
96036,0
96046,0
96052,0
96056,0
96058,0
96070,0
96074,0
96076,0
96080,0
96088,1
96090,0
96092,0
96094,0
96102,0
96104,1
96106,0
96108,0
96110,0
96112,0
96116,0
96120,0
96124,0
96132,0
96138,0
96154,0
96168,0
96174,0
96182,0
96188,0
96192,0
96196,0
96212,0
96216,0
96218,1
96220,0
96228,0
96240,0
96250,0
96258,0
96264,0
96268,0
96280,0
96284,0
96290,0
96294,0
96306,0
96310,0
96314,0
96316,0
96318,0
96332,0
96338,0
96342,0
96366,1
96392,0
96400,0
96414,0
96416,0
96424,0
96428,0
96436,0
96438,0
96440,0
96448,0
96468,0
96480,0
96488,0
96520,0
96522,0
96524,0
96526,0
96534,0
96548,1
96552,0
96570,1
96574,0
96576,0
96600,0
96622,0
96632,0
96644,0
96648,0
96672,0
96682,0
96686,0
96696,0
96720,0
96722,0
96726,0
96730,0
96740,0
96742,0
96746,0
96764,0
96768,0
96772,0
96774,0
96780,0
96782,0
96796,0
96800,0
96814,0
96826,0
96838,0
96840,0
96842,0
96864,0
96868,0
96882,1
96886,0
96906,1
96914,0
96936,0
96940,1
96946,0
96954,0
96970,0
96972,0
96992,0
97004,0
97018,0
97022,0
97036,0
97038,0
97052,0
97054,0
97058,1
97064,0
97084,0
97086,0
97090,0
97118,0
97130,0
97132,0
97136,0
97146,0
97150,0
97198,0
97202,0
97204,0
97208,0
97212,0
97226,0
97232,0
97254,0
97266,0
97270,0
97272,0
97296,0
97300,0
97304,0
97308,0
97310,0
97316,1
97322,0
97328,0
97330,0
97332,0
97348,0
97378,0
97388,0
97390,0
97392,0
97404,0
97428,0
97432,1
97444,1
97450,0
97454,0
97476,1
97480,0
97484,0
97502,0
97506,0
97524,0
97528,1
97548,0
97550,1
97554,0
97572,0
97596,0
97602,0
97630,0
97638,0
97662,0
97668,1
97672,0
97694,0
97714,0
97730,0
97778,1
97790,0
97796,0
97804,0
97810,0
97832,0
97848,0
97856,0
97866,0
97870,0
97890,0
97898,0
97904,0
97912,0
97934,0
97942,0
97944,0
97946,0
97956,0
97988,1
97998,0
98004,1
98012,0
98024,0
98026,0
98056,0
98058,0
98078,1
98104,0
98114,0
98122,0
98132,0
98138,0
98140,0
98154,0
98176,0
98190,0
98194,0
98196,0
98202,0
98210,0
98222,0
98224,0
98228,0
98230,0
98236,0
98238,0
98240,0
98244,1
98246,0
98256,0
98258,0
98264,0
98268,1
98272,0
98302,0
98304,0
98308,0
98310,1
98312,0
98316,0
98320,1
98322,0
98332,0
98336,0
98344,0
98356,0
98360,0
98362,0
98364,0
98366,0
98368,0
98390,1
98394,1
98410,0
98424,0
98426,0
98430,0
98440,0
98444,0
98446,0
98468,0
98478,0
98488,0
98494,0
98516,0
98518,0
98520,0
98526,0
98530,0
98532,0
98544,1
98548,0
98550,0
98556,0
98558,0
98560,1
98580,0
98592,1
98594,0
98612,0
98614,0
98618,0
98622,1
98630,0
98634,0
98646,0
98648,0
98652,0
98654,0
98676,0
98680,0
98700,0
98702,0
98704,0
98718,0
98726,0
98732,0
98740,0
98754,0
98756,0
98764,0
98766,0
98772,0
98796,0
98800,1
98824,0
98828,0
98840,0
98844,0
98880,0
98918,0
98948,0
98954,0
98958,0
98962,0
98988,0
98994,0
99014,1
99016,0
99022,0
99036,0
99046,0
99052,0
99056,0
99068,0
99074,0
99076,0
99080,0
99094,0
99098,0
99108,0
99114,0
99140,0
99156,0
99172,0
99180,0
99186,0
99192,0
99196,0
99210,1
99216,0
99224,0
99226,0
99264,0
99266,0
99274,0
99304,0
99306,0
99320,0
99334,0
99360,0
99362,0
99376,1
99378,0
99382,0
99396,0
99418,0
99420,0
99428,0
99462,0
99464,0
99484,0
99500,1
99506,0
99508,0
99510,0
99514,0
99528,0
99530,0
99536,0
99552,0
99556,0
99564,0
99566,0
99574,0
99586,1
99590,0
99606,1
99608,0
99614,1
99626,0
99630,0
99640,0
99646,0
99648,0
99650,0
99658,0
99662,0
99670,0
99678,0
99680,0
99704,0
99724,0
99732,0
99740,0
99744,0
99746,0
99758,0
99772,0
99782,0
99786,0
99790,0
99798,0
99814,0
99822,0
99826,0
99834,0
99844,0
99854,0
99862,0
99874,0
99884,0
99886,0
99910,1
99926,1
99930,0
99948,0
99954,0
99968,0
99992,0
100006,0
100014,0
100020,0
100030,0
100042,0
100052,0
100054,0
100072,0
100078,1
100108,0
100110,0
100154,0
100162,1
100176,0
100180,1
100196,0
100198,0
100202,0
100216,0
100218,0
100220,0
100252,0
100262,0
100264,0
100266,0
100276,0
100284,0
100310,0
100324,0
100326,0
100334,0
100340,0
100342,0
100344,0
100372,0
100392,1
100394,0
100398,0
100400,0
100418,0
100422,0
100424,0
100428,0
100430,0
100438,0
100440,0
100444,0
100448,0
100468,0
100472,0
100476,0
100478,0
100486,0
100488,1
100494,0
100520,0
100528,0
100532,0
100538,0
100544,0
100546,1
100556,0
100566,1
100578,0
100584,0
100590,0
100598,0
100600,0
100602,0
100604,0
100608,0
100614,0
100624,0
100626,0
100634,0
100640,0
100642,0
100648,0
100658,0
100670,0
100678,0
100680,0
100684,0
100690,0
100698,0
100700,0
100712,0
100716,0
100720,0
100744,0
100746,1
100750,0
100752,0
100754,0
100766,0
100782,0
100784,0
100788,0
100804,0
100806,0
100818,0
100824,0
100826,0
100834,0
100836,0
100846,0
100856,0
100860,0
100874,0
100878,0
100894,0
100900,0
100904,0
100914,1
100916,0
100920,0
100924,0
100926,0
100928,0
100930,0
100934,0
100940,0
100944,0
100946,0
100956,1
100958,0
100968,0
100972,0
100988,0
100998,0
101014,0
101016,0
101018,1
101024,0
101032,0
101038,0
101040,0
101048,0
101052,0
101066,0
101068,0
101072,0
101074,0
101076,0
101084,0
101088,0
101106,0
101110,0
101114,0
101124,0
101128,0
101138,1
101148,0
101162,0
101166,0
101172,0
101176,0
101178,0
101190,0
101200,0
101210,0
101234,1
101240,0
101250,0
101282,0
101286,0
101296,0
101312,0
101342,0
101352,0
101356,0
101358,0
101362,0
101376,0
101396,0
101414,0
101420,0
101422,0
101426,0
101430,0
101440,0
101454,0
101462,0
101466,0
101476,0
101484,1
101488,0
101490,0
101502,1
101512,0
101516,0
101522,0
101534,0
101540,0
101572,0
101574,0
101584,0
101586,1
101598,0
101606,0
101608,0
101610,0
101624,0
101638,0
101648,0
101662,0
101666,0
101668,0
101670,0
101676,0
101680,0
101696,0
101704,0
101712,0
101714,0
101722,0
101724,0
101728,0
101738,0
101744,0
101774,0
101804,0
101822,0
101838,0
101854,0
101858,0
101882,0
101884,0
101886,0
101890,0
101892,0
101896,0
101900,0
101902,0
101904,0
101908,0
101910,1
101912,0
101934,0
101936,0
101938,0
101954,0
101964,0
101968,0
101982,0
101984,0
101988,0
101992,0
102002,0
102006,0
102010,0
102016,0
102018,0
102020,0
102044,0
102048,1
102050,0
102052,0
102060,0
102070,0
102078,0
102098,0
102118,0
102134,1
102136,0
102140,0
102146,0
102152,0
102156,0
102162,0
102164,0
102170,0
102178,0
102180,0
102188,0
102192,0
102194,0
102196,0
102204,0
102206,0
102216,0
102226,0
102228,0
102230,0
102240,0
102244,0
